Date,Arkansas Nuclear 1,Arkansas Nuclear 2,Beaver Valley 1,Beaver Valley 2,Braidwood 1,Braidwood 2,Browns Ferry 1,Browns Ferry 2,Browns Ferry 3,Brunswick 1,Brunswick 2,Byron 1,Byron 2,Callaway,Calvert Cliffs 1,Calvert Cliffs 2,Catawba 1,Catawba 2,Clinton,Columbia Generating Station,Comanche Peak 1,Comanche Peak 2,Cooper,Crystal River 3,D.C. Cook 1,D.C. Cook 2,Davis-Besse,Diablo Canyon 1,Diablo Canyon 2,Dresden 2,Dresden 3,Duane Arnold,Farley 1,Farley 2,Fermi 2,FitzPatrick,Fort Calhoun,Ginna,Grand Gulf 1,Harris 1,Hatch 1,Hatch 2,Hope Creek 1,Indian Point 2,Indian Point 3,La Salle 1,La Salle 2,Limerick 1,Limerick 2,McGuire 1,McGuire 2,Millstone 2,Millstone 3,Monticello,Nine Mile Point 1,Nine Mile Point 2,North Anna 1,North Anna 2,Oconee 1,Oconee 2,Oconee 3,Oyster Creek,Palisades,Palo Verde 1,Palo Verde 2,Palo Verde 3,Peach Bottom 2,Peach Bottom 3,Perry 1,Pilgrim 1,Point Beach 1,Point Beach 2,Prairie Island 1,Prairie Island 2,Quad Cities 1,Quad Cities 2,River Bend 1,Robinson 2,Saint Lucie 1,Saint Lucie 2,Salem 1,Salem 2,San Onofre 2,San Onofre 3,Seabrook 1,Sequoyah 1,Sequoyah 2,South Texas 1,South Texas 2,Summer,Surry 1,Surry 2,Susquehanna 1,Susquehanna 2,Three Mile Island 1,Turkey Point 3,Turkey Point 4,Vermont Yankee,Vogtle 1,Vogtle 2,Waterford 3,Watts Bar 1,Watts Bar 2,Wolf Creek 1
12/23/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,86.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,42.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,97.00,97.00,93.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
12/24/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,86.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,93.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,97.00,97.00,93.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
12/25/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,85.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,76.00,100.00,97.00,96.00,92.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
12/26/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,85.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,92.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
12/27/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,85.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.00,96.00,92.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.00,98.00,100.00,100.00,,100
12/28/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.00,100.00,100.00,100.00,100.00,84.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,91.00,100.00,100.00,0.00,100.00,100.00,0.00,99.00,100.00,100.00,100.00,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.00,98.00,100.00,100.00,,100
12/29/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,95.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,84.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,90.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
12/30/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,95.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,84.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,90.00,100.00,100.00,0.00,0.00,100.00,0.00,99.00,100.00,100.00,100.00,98.00,100.00,100.00,100.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
12/31/07,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,84.00,100.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,89.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/1/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,83.00,100.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,89.00,100.00,100.00,0.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/2/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,89.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,83.00,100.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,89.00,100.00,100.00,0.00,62.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/3/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,89.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,83.00,100.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,82.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,89.00,99.00,100.00,0.00,98.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/4/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,89.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,96.00,98.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,82.00,100.00,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,88.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/5/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,89.00,100.00,100.00,99.00,91.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,27.00,100.00,100.00,82.00,100.00,100.00,100.00,89.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,93.00,100.00,100.00,100.00,0.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,88.00,100.00,100.00,30.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/6/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,96.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,20.00,100.00,100.00,81.00,100.00,99.00,94.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,93.00,100.00,100.00,100.00,0.00,89.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,88.00,100.00,100.00,60.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/7/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,15.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,99.00,100.00,95.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/8/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,12.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,99.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/9/08,100.00,100.00,100.00,100.00,70.00,100.00,100.00,100.00,12.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.00,100.00,100.00,100.00,100.00,95.00,100.00,100.00,0.00,100.00,100.00,97.00,17.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/10/08,100.00,100.00,100.00,100.00,39.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,87.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/11/08,100.00,100.00,100.00,100.00,77.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/12/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,55.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,94.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,69.00,100.00,100.00,100.00,0.00,84.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,97.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,0
1/13/08,100.00,100.00,100.00,100.00,100.00,100.00,66.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,55.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,89.00,100.00,100.00,100.00,68.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,78.00,97.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,84.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,0
1/14/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,0
1/15/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,99.00,100.00,100.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,99.00,100.00,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,40.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,0
1/16/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,9.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,70.00,100.00,100.00,2.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,1
1/17/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,0.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,44.00,100.00,100.00,100.00,100.00,100.00,100.00,81.00,100.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,70.00,100.00,100.00,12.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,34
1/18/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,1.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,86.00,100.00,100.00,100.00,95.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,90.00,100.00,100.00,12.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,97.00,96.00,0.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/19/08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,99.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,75.00,100.00,100.00,100.00,0.00,100.00,100.00,98.00,77.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,87.00,100.00,99.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.00,100.00,100.00,92.00,100.00,100.00,100.00,14.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,97.00,85.00,0.00,100.00,100.00,100.00,100.00,100.00,18.00,100.00,100.00,86.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
1/20/08,100.00,100.00,100.00,99.00,100.00,100.00,100.00,100.00,0.00,99.00,100.00,100.00,100.00,99.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,97.00,96.00,98.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.00,100.00,100.00,100.00,14.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,97.00,97.00,0.00,100.00,100.00,100.00,100.00,83.00,55.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,98.00,100.00,100.00,,100
